ISO3,noh,Country Code,Country Name,2019,languages
LIE,2.3202483347345297,LIE,Liechtenstein,38019.0,German
LTU,2.32058319896644,LTU,Lithuania,2786844.0,Lithuanian
LUX,2.41257028293851,LUX,Luxembourg,619896.0,"French, Luxembourgish, German"
MDG,4.9492635062293795,MDG,Madagascar,26969307.0,"Malagasy, French, English"
MWI,4.50891809012562,MWI,Malawi,18628747.0,"Nyanja, English"
MYS,4.55755678188844,MYS,Malaysia,31949777.0,Malay (macrolanguage)
MDV,5.39992241878289,MDV,Maldives,530953.0,Dhivehi
MLI,5.811145391856639,MLI,Mali,19658031.0,French
MLT,2.85274524666119,MLT,Malta,502653.0,"Maltese, English"
MUS,3.4752976173384704,MUS,Mauritius,1265711.0,"English, French"
MEX,3.74017497083236,MEX,Mexico,127575529.0,
MNG,4.32143522139053,MNG,Mongolia,3225167.0,Mongolian
MNE,3.21401150633056,MNE,Montenegro,622137.0,Serbian
MAR,5.2361663882699006,MAR,Morocco,36471769.0,"Arabic, Central Atlas Tamazight"
MOZ,4.366362845444041,MOZ,Mozambique,30366036.0,Portuguese
MMR,4.22379426809677,MMR,Myanmar,54045420.0,Burmese
NAM,4.2382239682247995,NAM,Namibia,2494530.0,English
NPL,4.23936444257142,NPL,Nepal,28608710.0,Nepali (macrolanguage)
NLD,2.22639156224361,NLD,Netherlands,17332850.0,Dutch
NZL,2.6728231011022903,NZL,New Zealand,4917000.0,Maori
NIC,4.9198766448943605,NIC,Nicaragua,6545502.0,Spanish
NER,5.916849172492549,NER,Niger,23310715.0,French
NGA,4.90142866431412,NGA,Nigeria,200963599.0,"English, Yoruba"
NOR,2.21543726122912,NOR,Norway,5347896.0,"Norwegian Bokmål, Norwegian Nynorsk"
OMN,8.01771089432877,OMN,Oman,4974986.0,Arabic
PAK,6.804478662480349,PAK,Pakistan,216565318.0,"Urdu, English"
PAN,3.67008259406546,PAN,Panama,4246439.0,Spanish
PNG,5.43010129941242,PNG,Papua New Guinea,8776109.0,"Tok Pisin, English, Hiri Motu"
PRY,4.63244207422508,PRY,Paraguay,7044636.0,"Guarani, Spanish"
PER,3.75218227894024,PER,Peru,32510453.0,"Spanish, Quechua"
PHL,4.22666134737057,PHL,Philippines,108116615.0,"English, Filipino"
POL,2.80621007003925,POL,Poland,37970874.0,Polish
PRT,2.6557599190948302,PRT,Portugal,10269417.0,Portuguese
PRI,2.67050237031479,PRI,Puerto Rico,3193694.0,Spanish
MDA,2.8887984237521405,MDA,Moldova,2657637.0,Romanian
ROU,2.87931735565844,ROU,Romania,19356544.0,Romanian
RUS,2.58489995059062,RUS,Russian Federation,144373535.0,Russian
RWA,4.25929245684135,RWA,Rwanda,12626950.0,"Kinyarwanda, English, French"
MAF,2.5640550696339504,MAF,St. Martin (French part),38002.0,French
WSM,6.751419667590031,WSM,Samoa,197097.0,"Samoan, English"
STP,3.8364511228465497,STP,Sao Tome and Principe,215056.0,Portuguese
SEN,8.66164024149629,SEN,Senegal,16296364.0,French
SRB,2.87916488134907,SRB,Serbia,6944975.0,"Serbian, Serbian"
SYC,3.7786215514755397,SYC,Seychelles,97625.0,"French, English"
SLE,5.8990749876049104,SLE,Sierra Leone,7813215.0,English
SGP,3.2914348296565197,SGP,Singapore,5703569.0,"English, Chinese, Malay (macrolanguage), Tamil"
SXM,2.5798973082309,SXM,Sint Maarten (Dutch part),40733.0,"English, Dutch"
SVN,2.4674013851836802,SVN,Slovenia,2087946.0,Slovenian
ZAF,3.36220315919585,ZAF,South Africa,58558270.0,English
SSD,5.9479727880003,SSD,South Sudan,11062113.0,English
ESP,2.6945177557428597,ESP,Spain,47076781.0,Spanish
PSE,5.47650663817378,PSE,West Bank and Gaza,4685306.0,Arabic
SDN,5.5903759281281395,SDN,Sudan,42813238.0,"English, Arabic"
